pdv,cupom,pco,desconto,pcotot,descontotot,qtd,data_ins,hora,ts_referencia,data,produto,cod_loja
14797,311501,"1,3800000000000001","3,52","1,21","3,9699999999999998",1.000,2019-12-23 17:33:03.860,17:11:11,2021-01-22 16:04:32.195,2019-12-23,3113732,87
14791,136800,"1,3800000000000001","3,52","1,21","3,9699999999999998",1.000,2019-12-23 17:53:02.847,17:24:31,2021-01-22 16:04:32.195,2019-12-23,3113732,83
14796,204997,"1,3800000000000001","3,52","1,21","3,9699999999999998",1.000,2019-12-23 18:47:02.707,17:34:53,2021-01-22 16:04:32.195,2019-12-23,3113732,83
14797,36251,"1,3800000000000001","3,52","1,21","3,9699999999999998",1.000,2019-12-23 19:11:02.630,18:42:40,2021-01-22 16:04:32.195,2019-12-23,3113732,98
14797,36257,"1,3800000000000001","3,52","1,21","3,9699999999999998",1.000,2019-12-23 19:23:02.093,18:53:36,2021-01-22 16:04:32.195,2019-12-23,3113732,98
14798,70107,"1,05","3,85","0,88","4,3",1.000,2019-12-23 14:21:02.857,14:06:00,2021-01-22 16:04:32.195,2019-12-23,3113732,83
15090,1871,"4,37","2,53","4,2","2,98",1.000,2019-12-23 15:41:02.960,14:57:15,2021-01-22 16:04:32.195,2019-12-23,3109948,82
15095,1877,"6,03","0,0","5,86","0,0",1.000,2019-12-23 16:43:02.247,16:24:46,2021-01-22 16:04:32.195,2019-12-23,988913,103
14995,2853,"12,030000000000001","0,0","11,86","0,0",1.000,2019-12-23 18:47:02.707,16:46:56,2021-01-22 16:04:32.195,2019-12-23,3113198,104
15091,2069,"4,03","0,0","3,8600000000000003","0,0",1.000,2019-12-23 22:43:02.550,22:27:06,2021-01-22 16:04:32.195,2019-12-23,3100447,89
15094,1769,"8,030000000000001","0,0","7,86","0,0",1.000,2019-12-23 15:41:02.960,13:13:26,2021-01-22 16:04:32.195,2019-12-23,3129894,114
14995,2897,"8,030000000000001","0,0","7,86","0,0",1.000,2019-12-23 19:23:02.093,18:12:00,2021-01-22 16:04:32.195,2019-12-23,3129894,104
14792,480666,"5,04","1,8599999999999999","4,87","2,31",1.000,2019-12-23 12:13:02.133,11:44:31,2021-01-22 16:04:32.195,2019-12-23,3122490,93
14792,480666,"5,04","1,8599999999999999","4,87","2,31",1.000,2019-12-23 12:13:02.133,11:44:35,2021-01-22 16:04:32.195,2019-12-23,3122460,93
14793,169449,"1,05","3,85","0,88","4,3",1.000,2019-12-23 15:33:04.703,14:36:21,2021-01-22 16:04:32.195,2019-12-23,3113746,83
14798,70114,"1,05","3,85","0,88","4,3",1.000,2019-12-23 15:33:04.703,14:45:25,2021-01-22 16:04:32.195,2019-12-23,3113746,83
14801,29043,"1,05","3,85","0,88","4,3",1.000,2019-12-23 15:33:04.703,14:41:48,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14801,29043,"1,05","3,85","0,88","4,3",1.000,2019-12-23 15:33:04.703,14:41:51,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14796,426134,"1,05","3,85","0,88","4,3",1.000,2019-12-23 15:33:04.703,14:47:52,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14796,426134,"1,05","3,85","0,88","4,3",1.000,2019-12-23 15:33:04.703,14:47:54,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14802,19158,"1,05","3,85","0,88","4,3",1.000,2019-12-23 15:33:04.703,14:49:55,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14802,19158,"1,05","3,85","0,88","4,3",1.000,2019-12-23 15:33:04.703,14:49:58,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14791,102879,"17,03","0,0","16,86","0,0",1.000,2019-12-23 19:45:02.913,19:08:34,2021-01-22 16:04:32.195,2019-12-23,3094865,100
15293,99653,"4,03","0,0","3,8600000000000003","0,0",1.000,2019-12-23 16:23:02.520,16:05:25,2021-01-22 16:04:32.195,2019-12-23,3113746,95
14793,145891,"3,71","2,19","3,54","2,64",1.000,2019-12-23 18:51:02.850,18:11:46,2021-01-22 16:04:32.195,2019-12-23,3118833,96
15093,1900,"11,030000000000001","0,0","10,86","0,0",1.000,2019-12-23 15:41:02.960,14:59:13,2021-01-22 16:04:32.195,2019-12-23,3113198,89
15098,1815,"11,030000000000001","0,0","10,86","0,0",1.000,2019-12-23 15:41:02.960,15:06:50,2021-01-22 16:04:32.195,2019-12-23,3113198,89
14796,44329,"2,71","2,19","2,54","2,64",1.000,2019-12-23 19:03:04.833,18:24:07,2021-01-22 16:04:32.195,2019-12-23,3113732,81
14797,99982,"1,05","3,85","0,88","4,3",1.000,2019-12-23 15:33:04.703,15:06:10,2021-01-22 16:04:32.195,2019-12-23,3113746,83
14797,99982,"1,05","3,85","0,88","4,3",1.000,2019-12-23 15:33:04.703,15:06:14,2021-01-22 16:04:32.195,2019-12-23,3113746,83
14797,311469,"1,05","3,85","0,88","4,3",1.000,2019-12-23 15:33:04.703,14:50:34,2021-01-22 16:04:32.195,2019-12-23,3113746,87
14797,311469,"1,05","3,85","0,88","4,3",1.000,2019-12-23 15:33:04.703,14:50:36,2021-01-22 16:04:32.195,2019-12-23,3113746,87
15094,1924,"12,030000000000001","0,0","11,86","0,0",1.000,2019-12-23 23:01:02.033,22:41:42,2021-01-22 16:04:32.195,2019-12-23,3113198,84
15100,1778,"4,37","2,53","4,2","2,98",1.000,2019-12-23 15:41:02.960,15:15:36,2021-01-22 16:04:32.195,2019-12-23,3109862,82
15091,1839,"4,37","2,53","4,2","2,98",1.000,2019-12-23 15:41:02.960,15:23:32,2021-01-22 16:04:32.195,2019-12-23,3109862,82
14790,199921,"2,71","2,19","2,54","2,64",1.000,2019-12-23 21:01:02.613,20:33:45,2021-01-22 16:04:32.195,2019-12-23,3113732,98
14802,168156,"2,71","2,19","2,54","2,64",1.000,2019-12-23 21:11:02.080,20:40:52,2021-01-22 16:04:32.195,2019-12-23,3113732,94
14795,128390,"12,030000000000001","0,0","11,86","0,0",1.000,2019-12-23 10:53:02.037,10:20:45,2021-01-22 16:04:32.195,2019-12-23,3113198,100
